"filename","fold","target","category","esc10","src_file","take"
"1-17124-A-43.wav","1","43","car_horn","False","17124","A"
"1-19026-A-43.wav","1","43","car_horn","False","19026","A"
"1-24074-A-43.wav","1","43","car_horn","False","24074","A"
"1-24076-A-43.wav","1","43","car_horn","False","24076","A"
"1-254507-A-43.wav","1","43","car_horn","False","254507","A"
"1-26176-A-43.wav","1","43","car_horn","False","26176","A"
"1-26177-A-43.wav","1","43","car_horn","False","26177","A"
"1-28808-A-43.wav","1","43","car_horn","False","28808","A"
"2-100648-A-43.wav","2","43","car_horn","False","100648","A"
"2-125520-A-43.wav","2","43","car_horn","False","125520","A"
"2-128465-A-43.wav","2","43","car_horn","False","128465","A"
"2-128465-B-43.wav","2","43","car_horn","False","128465","B"
"2-138465-A-43.wav","2","43","car_horn","False","138465","A"
"2-144137-A-43.wav","2","43","car_horn","False","144137","A"
"2-42101-A-43.wav","2","43","car_horn","False","42101","A"
"2-54086-A-43.wav","2","43","car_horn","False","54086","A"
"3-145577-A-43.wav","3","43","car_horn","False","145577","A"
"3-146697-A-43.wav","3","43","car_horn","False","146697","A"
"3-153057-A-43.wav","3","43","car_horn","False","153057","A"
"3-155130-A-43.wav","3","43","car_horn","False","155130","A"
"3-155234-A-43.wav","3","43","car_horn","False","155234","A"
"3-161010-A-43.wav","3","43","car_horn","False","161010","A"
"3-174840-A-43.wav","3","43","car_horn","False","174840","A"
"3-243726-A-43.wav","3","43","car_horn","False","243726","A"
"4-175845-A-43.wav","4","43","car_horn","False","175845","A"
"4-175846-A-43.wav","4","43","car_horn","False","175846","A"
"4-175855-A-43.wav","4","43","car_horn","False","175855","A"
"4-175856-A-43.wav","4","43","car_horn","False","175856","A"
"4-176631-A-43.wav","4","43","car_horn","False","176631","A"
"4-176638-A-43.wav","4","43","car_horn","False","176638","A"
"4-178402-A-43.wav","4","43","car_horn","False","178402","A"
"4-191015-A-43.wav","4","43","car_horn","False","191015","A"
"5-179860-A-43.wav","5","43","car_horn","False","179860","A"
"5-179863-A-43.wav","5","43","car_horn","False","179863","A"
"5-179865-A-43.wav","5","43","car_horn","False","179865","A"
"5-179866-A-43.wav","5","43","car_horn","False","179866","A"
"5-179868-A-43.wav","5","43","car_horn","False","179868","A"
